date, Population, Annual % Change
1950,5972876,
1951,6118736,2.44
1952,6273219,2.52
1953,6435027,2.58
1954,6605394,2.65
1955,6786077,2.74
1956,6977024,2.81
1957,7178108,2.88
1958,7385689,2.89
1959,7602942,2.94
1960,7833782,3.04
1961,8074805,3.08
1962,8324218,3.09
1963,8579350,3.06
1964,8835925,2.99
1965,9091016,2.89
1966,9340240,2.74
1967,9582086,2.59
1968,9821308,2.5
1969,10061684,2.45
1970,10306508,2.43
1971,10552557,2.39
1972,10801619,2.36
1973,11062664,2.42
1974,11335187,2.46
1975,11617947,2.49
1976,11910081,2.51
1977,12218924,2.59
1978,12543892,2.66
1979,12875011,2.64
1980,13215707,2.65
1981,13564594,2.64
1982,13921029,2.63
1983,14292862,2.67
1984,14686454,2.75
1985,15108135,2.87
1986,15558740,2.98
1987,16033103,3.05
1988,16524616,3.07
1989,17020143,3
1990,17517054,2.92
1991,18017464,2.86
1992,18526708,2.83
1993,19050077,2.82
1994,19588703,2.83
1995,20136888,2.8
1996,20689051,2.74
1997,21249178,2.71
1998,21810542,2.64
1999,22368655,2.56
2000,22945150,2.58
2001,23542517,2.6
2002,24142445,2.55
2003,24739411,2.47
2004,25333247,2.4
2005,25923536,2.33
2006,26509413,2.26
2007,27092604,2.2
2008,27664296,2.11
2009,28217204,2
2010,28717731,1.77
2011,29184133,1.62
2012,29660212,1.63
2013,30134807,1.6
2014,30606459,1.57
2015,31068833,1.51
2016,31526418,1.47
2017,31975806,1.43
2018,32399271,1.32
2019,32804020,1.25
2020,33199993,1.21
2021,33573874,1.13
2022,33938221,1.09
2023,34308525,1.09
2024,34671895,1.06
2025,35028030,1.03
2026,35376942,1
2027,35718158,0.96
2028,36050662,0.93
2029,36373834,0.9
2030,36687569,0.86
2031,36992784,0.83
2032,37288666,0.8
2033,37573537,0.76
2034,37847164,0.73
2035,38109999,0.69
2036,38362771,0.66
2037,38605692,0.63
2038,38838995,0.6
2039,39063349,0.58
2040,39279459,0.55
2041,39487920,0.53
2042,39688220,0.51
2043,39880624,0.48
2044,40066400,0.47
2045,40244776,0.45
2046,40415981,0.43
2047,40580199,0.41
2048,40737582,0.39
2049,40888501,0.37
2050,41032433,0.35
2051,41168897,0.33
2052,41297797,0.31
2053,41419071,0.29
2054,41532745,0.27
2055,41639027,0.26
2056,41737197,0.24
2057,41826760,0.21
2058,41907596,0.19
2059,41979830,0.17
2060,42043514,0.15
2061,42098330,0.13
2062,42144488,0.11
2063,42181745,0.09
2064,42209656,0.07
2065,42228224,0.04
2066,42236994,0.02
2067,42236239,0
2068,42225923,-0.02
2069,42206041,-0.05
2070,42177549,-0.07
2071,42140738,-0.09
2072,42096945,-0.1
2073,42047036,-0.12
2074,41990028,-0.14
2075,41925664,-0.15
2076,41855016,-0.17
2077,41779488,-0.18
2078,41699189,-0.19
2079,41614787,-0.2
2080,41526445,-0.21
2081,41434429,-0.22
2082,41340441,-0.23
2083,41245149,-0.23
2084,41147392,-0.24
2085,41047236,-0.24
2086,40946336,-0.25
2087,40844603,-0.25
2088,40741276,-0.25
2089,40636611,-0.26
2090,40532012,-0.26
2091,40427562,-0.26
2092,40322097,-0.26
2093,40216195,-0.26
2094,40111111,-0.26
2095,40006088,-0.26
2096,39900120,-0.26
2097,39793499,-0.27
2098,39687007,-0.27
2099,39580829,-0.27
2100,39474474,-0.27
