Row Labels,Sum of cases_new
2020,113010
Johor,5734
Kedah,3024
Kelantan,758
Melaka,1225
Negeri Sembilan,7828
Pahang,1365
Perak,3195
Perlis,46
Pulau Pinang,3488
Sabah,37040
Sarawak,1117
Selangor,32395
Terengganu,325
W.P. Kuala Lumpur,13487
W.P. Labuan,1701
W.P. Putrajaya,282
2021,2645076
Johor,239206
Kedah,165362
Kelantan,168285
Melaka,75065
Negeri Sembilan,105736
Pahang,93981
Perak,125844
Perlis,7123
Pulau Pinang,157616
Sabah,203492
Sarawak,251183
Selangor,754235
Terengganu,82355
W.P. Kuala Lumpur,197363
W.P. Labuan,9123
W.P. Putrajaya,9107
2022,2268591
Johor,152843
Kedah,149679
Kelantan,90797
Melaka,67956
Negeri Sembilan,116999
Pahang,87031
Perak,109441
Perlis,11790
Pulau Pinang,145828
Sabah,166016
Sarawak,71301
Selangor,758444
Terengganu,50051
W.P. Kuala Lumpur,255563
W.P. Labuan,12094
W.P. Putrajaya,22758
2023,202962
Johor,9124
Kedah,9096
Kelantan,6448
Melaka,14186
Negeri Sembilan,8538
Pahang,5334
Perak,9103
Perlis,1161
Pulau Pinang,10819
Sabah,5117
Sarawak,7636
Selangor,63640
Terengganu,6244
W.P. Kuala Lumpur,40595
W.P. Labuan,753
W.P. Putrajaya,5168
2024,57133
Johor,7231
Kedah,2921
Kelantan,1664
Melaka,3033
Negeri Sembilan,2707
Pahang,1419
Perak,1855
Perlis,579
Pulau Pinang,2617
Sabah,1530
Sarawak,1506
Selangor,15933
Terengganu,2646
W.P. Kuala Lumpur,10098
W.P. Labuan,164
W.P. Putrajaya,1230
Grand Total,5286772
