date,state,death,latitude,longitude,total death 2020,total death 2021,total death 2022,total death 2023,total death 2024
2020,Johor,133,2.2179,103.117,2173,20798,7831,7121,398
2020,Kedah,48,6.1218,100.3623,,,,,
2020,Kelantan,34,5.0658,102.4737,,,,,
2020,Melaka,22,2.2137,102.2567,,,,,
2020,Negeri Sembilan,56,2.7083,101.9744,,,,,
2020,Pahang,23,3.988,102.4371,,,,,
2020,Perak,72,4.6089,101.0819,,,,,
2020,Perlis,6,6.439,100.1906,,,,,
2020,Pulau Pinang,54,5.3549,100.4503,,,,,
2020,Sabah,1263,5.3477,117.6276,,,,,
2020,Sarawak,63,2.8312,113.7185,,,,,
2020,Selangor,235,3.3394,101.5136,,,,,
2020,Terengganu,3,5.025,103.0057,,,,,
2020,W.P. Kuala Lumpur,89,3.139,101.6869,,,,,
2020,W.P. Labuan,57,5.2831,115.24,,,,,
2020,W.P. Putrajaya,15,2.9264,101.6938,,,,,
2021,Johor,13207,2.2179,103.117,,,,,
2021,Kedah,8192,6.1218,100.3623,,,,,
2021,Kelantan,5515,5.0658,102.4737,,,,,
2021,Melaka,3894,2.2137,102.2567,,,,,
2021,Negeri Sembilan,5735,2.7083,101.9744,,,,,
2021,Pahang,3224,3.988,102.4371,,,,,
2021,Perak,5226,4.6089,101.0819,,,,,
2021,Perlis,594,6.439,100.1906,,,,,
2021,Pulau Pinang,6583,5.3549,100.4503,,,,,
2021,Sabah,10625,5.3477,117.6276,,,,,
2021,Sarawak,6128,2.8312,113.7185,,,,,
2021,Selangor,36925,3.3394,101.5136,,,,,
2021,Terengganu,2749,5.025,103.0057,,,,,
2021,W.P. Kuala Lumpur,11401,3.139,101.6869,,,,,
2021,W.P. Labuan,574,5.2831,115.24,,,,,
2021,W.P. Putrajaya,226,2.9264,101.6938,,,,,
2022,Johor,3549,2.2179,103.117,,,,,
2022,Kedah,2917,6.1218,100.3623,,,,,
2022,Kelantan,1071,5.0658,102.4737,,,,,
2022,Melaka,1239,2.2137,102.2567,,,,,
2022,Negeri Sembilan,1326,2.7083,101.9744,,,,,
2022,Pahang,1346,3.988,102.4371,,,,,
2022,Perak,3407,4.6089,101.0819,,,,,
2022,Perlis,310,6.439,100.1906,,,,,
2022,Pulau Pinang,1608,5.3549,100.4503,,,,,
2022,Sabah,2163,5.3477,117.6276,,,,,
2022,Sarawak,1198,2.8312,113.7185,,,,,
2022,Selangor,4898,3.3394,101.5136,,,,,
2022,Terengganu,922,5.025,103.0057,,,,,
2022,W.P. Kuala Lumpur,1625,3.139,101.6869,,,,,
2022,W.P. Labuan,28,5.2831,115.24,,,,,
2022,W.P. Putrajaya,224,2.9264,101.6938,,,,,
2023,Johor,608,2.2179,103.117,,,,,
2023,Kedah,286,6.1218,100.3623,,,,,
2023,Kelantan,1193,5.0658,102.4737,,,,,
2023,Melaka,242,2.2137,102.2567,,,,,
2023,Negeri Sembilan,108,2.7083,101.9744,,,,,
2023,Pahang,400,3.988,102.4371,,,,,
2023,Perak,375,4.6089,101.0819,,,,,
2023,Perlis,17,6.439,100.1906,,,,,
2023,Pulau Pinang,486,5.3549,100.4503,,,,,
2023,Sabah,190,5.3477,117.6276,,,,,
2023,Sarawak,186,2.8312,113.7185,,,,,
2023,Selangor,2039,3.3394,101.5136,,,,,
2023,Terengganu,150,5.025,103.0057,,,,,
2023,W.P. Kuala Lumpur,620,3.139,101.6869,,,,,
2023,W.P. Labuan,11,5.2831,115.24,,,,,
2023,W.P. Putrajaya,210,2.9264,101.6938,,,,,
2024,Johor,53,2.2179,103.117,,,,,
2024,Kedah,15,6.1218,100.3623,,,,,
2024,Kelantan,0,5.0658,102.4737,,,,,
2024,Melaka,22,2.2137,102.2567,,,,,
2024,Negeri Sembilan,15,2.7083,101.9744,,,,,
2024,Pahang,4,3.988,102.4371,,,,,
2024,Perak,33,4.6089,101.0819,,,,,
2024,Perlis,5,6.439,100.1906,,,,,
2024,Pulau Pinang,33,5.3549,100.4503,,,,,
2024,Sabah,7,5.3477,117.6276,,,,,
2024,Sarawak,16,2.8312,113.7185,,,,,
2024,Selangor,156,3.3394,101.5136,,,,,
2024,Terengganu,3,5.025,103.0057,,,,,
2024,W.P. Kuala Lumpur,36,3.139,101.6869,,,,,
2024,W.P. Labuan,0,5.2831,115.24,,,,,
2024,W.P. Putrajaya,0,2.9264,101.6938,,,,,
